# 中文	English
一个女孩	1girl
钢铁侠	Iron Man
艾薇·瓦伦丁	Ivy Valentine
伊扎娜米	Izanami
杰克·斯派洛	Jack Sparrow
詹姆斯·邦德	James Bond
雅努斯	Janus
让-路易·皮卡德	Jean-Luc Picard
杰瑞·老鼠	Jerry Mouse
杰西·平克曼	Jesse Pinkman
珍妮丝·兔女郎	Jessica Rabbit
吉尔·瓦伦丁	Jill Valentine
铁拳的金凯萨马	Jin Kazama from tekken
约翰·威克	John Wick
凯特尼斯·伊芙登	Katniss Everdeen
来自街头霸王的肯·马斯特斯	Ken Masters from street fighter
青蛙科米	Kermit the Frog
克洛斯托斯	Kratos
观音	Kwan Yin
凯洛·伦	Kylo Ren
维京人的拉格妲	Lagertha from Vikings
劳拉·克罗夫特	Lara Croft
莱戈拉斯	Legolas
凯恩中尉	Lieutenant Kane
来自最终幻想13的闪电	Lightning from FF13
来自汽车人赛车手的闪电麦昆	Lightning McQueen from Cars
莉莉丝	Lilith
洛基	Loki
伊丽莎白·里普利中尉	Lt. Ellen Ripley
来自铁拳的幸运克劳尔	Lucky Chloe from tekken
来自汽车人的路易吉	Luigi from Cars
卢克·天行者	Luke Skywalker
马克斯·佩恩	Max Payne
美杜莎	Medusa
麦哲曼	Megaman
水银	Mercury
米老鼠	Mickey Mouse
小黄人	Minion
琵吉小姐	Miss Piggy
来自宝可梦的美丝蒂	Misty from Pokemon
密特拉	Mithras
蒙娜丽莎	Mona Lisa
蒙奇·D·路飞	Monkey D.Luffy
墨菲斯	Morpheus
摩瑞恩	Morrigan
来自玩具总动员的土豆先生	Mr. Potato Head from Toy Story
斯波克先生	Mr. Spock
花木兰	Mulan
矩阵的尼奥	Neo from the matix
内洛	Nero
乔伊护士	Nurse Joy
仙女	nymph
淫妇	nymphomaniac
欧比旺·肯诺比	Obi-Wan Kenobi
奥丁	Odin
奥西里斯	Osiris
吃豆人	Pacman
帕德梅·阿米达拉	Padmé Amidala
珀耳塞福涅	Persephone
彼得·潘	Peter Pan
皮卡丘	Pikachu
粉红豹	Pink Panther
匹诺曹	Pinocchio
毒藤女	Poison Ivy
菠菜人	Popeye
波塞冬	Poseidon
塞尔达公主	Princess Zelda
普罗米修斯	Prometheus
普罗透斯	Proteus
穿靴子的猫	Puss in Boots
奎特萨科阿特尔	Quetzalcoatl
奎-冈·金	Qui-Gon Jinn
机器人R2-D2	R2-D2
拉	Ra
雷根·洛德布鲁克	Ragnar Lodbrok
瑞普蕾兹尔	Rapunzel
来自血影的莱恩	Rayne from BloodRayne
里默斯·卢平	Remus Lupin
来自料理鼠王的雷米	Remy from Ratatouille
星球大战中的瑞伊	Rey from star wars
兔八哥	Road Runner
罗宾汉	Robin Hood
月亮女神	Sailor Moon
一拳超人	Saitama
圣诞老人	Santa
塞勒涅	Selene
夏洛克·福尔摩斯	Sherlock Holmes
湿婆	Shiva
史莱克	Shrek
狮子王中的辛巴	Simba from The Lion King
雪女皇	Snow Queen
白雪公主	Snow White
刺猬索尼克	Sonic the Hedgehog
斯派迪·古兹曼	Speedy Gonzales
蜘蛛-盖文	Spider-Gwen
蜘蛛侠	Spider-Man
蜘蛛侠	Spiderman
蜘蛛女	Spider-Girl
海绵宝宝	SpongeBob SquarePants
斯派罗	Spyro the Dragon
暴风兵	Stormtrooper
苏碧零	Sub-Zero
魅魔	Succubus
超级赛亚人	Super Saiyen
超人	Superman
塔斯曼尼亚恶魔	Tasmanian Devil
诱惑者	Temptress
特兹卡利波卡	Tezcatlipoca
外星女王	The Alien Queen
大脑	The Brain
蒂姆·伯顿电影中的新娘	the bride from tim burton
格林奇	The Grinch
有角之神	The Horned God
浩克	The Hulk
小丑	The Joker
陆拉克斯	The Lorax
曼达洛人	The Mandalorian
掠食者	The Predators
终结者	The Terminator
外星生物	The Xenomorphs
索尔	Thor
铁匠小精灵	Tinker Bell
黑客帝国中的三叉戟	Trinity from the matrix
星际迷航中的图沃克	Tuvok from star trek
吸血鬼公主	vampire princess
吸血鬼女王	vampire queen
贝吉塔	Vegeta
维纳斯	Venus
瓦力	WALL-E
白巫师	White Witch
威利·欧·科伊奥特	Wile E. Coyote
小熊维尼	Winnie the Pooh
巫师	Witch
神奇女侠	Wonder Woman
林地仙女	Woodland Nymph
来自巫师的叶奈法	Yennefer of Vengerberg from the witcher
尤达	Yoda
尤利塞斯·山姆	Yosemite Sam
吉斯胡	Yoshimitsu
宙斯	Zeus
阿西玛尔	Aasimar
人工智能	AI
外星人	Alien
阿尔特默	Altmer
天使长	Archangel
阿戈尼亚人	Argonian
阿特龙纳克	Atronach
自动机	Automaton
女妖	Banshee
面颅怪	Beholder
贝尼·杰瑟里特	Bene Gesserit
血精灵	Bloodelf
博格人	Borg
博斯梅尔	Bosmer
小矮人	Brownie
卡达西亚人	Cardassian
半人马	Centaur
基路伯	Cherubim
奇美拉	Chimera
赛博人	Cyberman
独眼巨人	Cyclops
独眼巨人	Cyclopskin
赛隆	Cylon
达瑞亚	Daedra
戴立克	Dalek
精灵	Djinn
德拉克希尔	Dracthyr
德拉诺伊	Draenei
龙裔	Dragonborn
龙族	Dragonkin
德拉乌格	Draugr
暗精灵	Drow
树精	Dryad
邓默尔	Dunmer
矮人	Dwarf
杜梅尔	Dwemer
元素	Elemental
精灵	Elf
仙子	Faerie
法尔默	Falmer
丘比特	Faun
弗雷曼人	Fremen
冰巨人	Frost giant
园丁小矮人	Garden gnome
鬼魂	Ghost
巨人	Giant
侏儒	Gnome
哥布林	Goblin
女神	Godess
石像怪	Golem
戈耳工	Gorgon
冈人	Gorn
格林林	Gremlin
海妖	Harpy
高等精灵	High elf
霍比特人	Hobbit
人偶师	Homunculus
伊菲尔特	Ifrit
绝地武士	Jedi
精灵	Jinn
卡贾特	Khajit
克林贡	Klingon
巫妖	Lich
狼人	Lycanthrope
人体模型	Mannequin
火星人	Martian
门塔特	Mentat
美人鱼	Mermaid
心灵吸食者	Mind Flayer
迷宫牛	Minotaur
木乃伊	Mummy
墨客	Murloc
变异人	Mutant
纳威人	Na'vi
蛇妖	Naga
亡灵法师	Necromancer
夜精灵	Nightelf
宁芙	Nymph
食人魔	Ogre
兽人	Orc
奥瑞姆	Orsimer
熊猫人	Pandaren
小精灵	Pixie
闹鬼	Poltergeist
掠食者	Predator
红卫兵	Redguard
复制人	Replicant
机器人	Robot
罗曼人	Romulan
萨特	Satyr
圣天使	Seraphim
阴影	Shade
影子	Shadow
塞壬	Siren
骷髅	Skeleton
幽灵	Specter
斯芬克斯	Sphinx
塔伦	Tauren
提夫林	Tiefling
时间领主	Time Lord
滴魔	Troll
不死生物	Undead
瓦尔基里	Valkyrie
吸血鬼	Vampire
虚空精灵	Voidelf
瓦肯人	Vulcan
狼人	Werewolf
幽灵火	Will-o'-the-wisp
伍可希	Wookiee
狼人	Worgen
游魂	Wraith
外星生物	Xenomorph
赞达拉人	Zandalari
僵尸	Zombie
骆驼	Camel
红衣主教	Cardinal
猫	Cat
查理王小猎犬	Cavalier King Charles Spaniel
变色龙	Chameleon
猎豹	Cheetah
北美松鸦	Chickadee
鸡	Chicken
吉娃娃	Chihuahua
黑猩猩	Chimpanzee
吸血兽	Chupacabra
秃鹰	Condor
康沃尔雷克斯猫	Cornish Rex Cat
牛	Cow
郊狼	Coyote
鳄鱼	Crocodile
乌鸦	Crow
杜鹃	Cuckoo
猎坏狗	Dachshund
鹿	Deer
德文雷克斯猫	Devon Rex Cat
腕龙	Diplodocus
杜宾犬	Doberman Pinscher
海豚	Dolphin
驴	Donkey
鸭子	Duck
埃及猫	Egyptian Mau Cat
大象	Elephant
驼鹿	Elk
英国獒犬	English Mastiff
异国短毛猫	Exotic Shorthair Cat
猎鹰	Falcon
水貂	Ferret
金丝雀	Finch
鱼	Fish
火烈鸟	Flamingo
狐狸	Fox
法国斗牛犬	French Bulldog
青蛙	Frog
瞪羚	Gazelle
壁虎	Gecko
德国牧羊犬	German Shepherd
长颈鹿	Giraffe
山羊	Goat
金雕	Golden Eagle
金毛寻回犬	Golden Retriever
鹅	Goose
大猩猩	Gorilla
大丹狗	Great Dane
狮身鹫首怪兽	Griffin
盖拉多	Gyarados
兔子	Hare
鹰	Hawk
刺猬	Hedgehog
喜马拉雅猫	Himalayan Cat
马	Horse
蜂鸟	Hummingbird
土狼	Hyena
杰克罗素梗	Jack Russell Terrier
美洲豹	Jaguar
日本短尾猫	Japanese Bobtail Cat
水母	Jellyfish
胖丁	Jigglypuff
袋鼠	Kangaroo
游隼	Kestrel
考拉	Koala
科拉猫	Korat Cat
北海巨妖	Kraken
拉布拉多寻回犬	Labrador Retriever
瓢虫	Ladybird
云雀	Lark
狐猴	Lemur
豹	Leopard
利维坦	Leviathan
狮子	Lion
蜥蜴	Lizard
羊驼	Llama
龙虾	Lobster
喜鹊	Magpie
缅因库恩猫	Maine Coon Cat
绿头鸭	Mallard
猛犸象	Mammoth
曼克斯猫	Manx Cat
乳齿象	Mastodon
巨齿鲨	Megalodon
水貂	Mink
蛾	Moth
老鼠	Mouse
骡子	Mule
蝾螈	Newt
夜莺	Nightingale
挪威森林猫	Norwegian Forest Cat
章鱼	Octopus
树袋鼠	Opossum
猩猩	Orangutan
东方短毛猫	Oriental Shorthair Cat
鱼鹰	Osprey
鸵鸟	Ostrich
水獭	Otter
猫头鹰	Owl
猫熊怪	Owlbear
牡蛎	Oyster
熊猫	Panda
黑豹	Panther
鹦鹉	Parrot
孔雀	Peacock
飞马	Pegasus
鹈鹕	Pelican
波斯猫	Persian Cat
凤凰	Phoenix
猪	Pig
鸽子	Pigeon
鸭嘴兽	Platypus
贵宾犬	Poodle
海豚	Porpoise
信天翁	Puffin
小狗	Puppy Dog
蟒蛇	Python
兔子	Rabbit
浣熊	Raccoon
拉戈尔德猫	Ragdoll Cat
老鼠	Rat
乌鸦	Raven
红熊猫	Red Panda
犀牛	Rhinoceros
知更鸟	Robin
罗威纳犬	Rottweiler
俄罗斯蓝猫	Russian Blue Cat
剑齿虎	Sabertooth tiger
圣伯纳犬	Saint Bernard
蝾螈	Salamander
蝎子	Scorpion
斯科特兰折耳猫	Scottish Fold Cat
海怪	Sea serpent
海鸥	Seagull
沙皮狗	Shar Pei
鲨鱼	Shark
绵羊	Sheep
吉娃娃犬	Shih Tzu
虾	Shrimp
暹罗猫	Siamese Cat
西伯利亚雪橇犬	Siberian Husky
臭鼬	Skunk
树懒	Sloth
蜗牛	Snail
蛇	Snake
麻雀	Sparrow
无毛猫	Sphynx Cat
香料虫	Spice worm
蜘蛛	Spider
鱿鱼	Squid
松鼠	Squirrel
海星	Starfish
鹳	Stork
天鹅	Swan
剑鱼	Swordfish
貘	Tapir
老虎	Tiger
蟾蜍	Toad
乌龟	Tortoise
巨嘴鸟	Toucan
海龟	Turtle
秃鹰	Vulture
黄蜂	Wasp
水牛	Water buffalo
貂	Weasel
鲸鱼	Whale
狼	Wolf
袋熊	Wombat
啄木鸟	Woodpecker
披毛犀	Woolly rhinoceros
牦牛	Yak
约克夏犬	Yorkshire Terrier
斑马	Zebra
两轮车	2 wheeled vehicle
三轮车	3 wheeled vehicle
四轮车	4 wheeled vehicle
六轮车	6 wheeled vehicle
航空母舰	Aircraft carrier
飞艇	Airship
救护车	Ambulance
装甲车	Armored vehicle
阿斯顿·马丁	Aston Martin
奥迪	Audi
星际战舰银河号	Battlestar Galactica
自行车	Bicycle
宝马	BMW
船	Boat
身体冲浪板	Bodyboard
子弹头列车	Bullet Train
公共汽车	Bus
露营车	Camper
独木舟	Canoe
汽车	Car
缆车	Chair lift
雪佛兰	Chevrolet
集装箱船	Container ship
游轮	Cruise ship
杜卡迪	Ducati
电动汽车	Electric Car
电动车	Electric Vehicle
法拉利	Ferrari
法拉利275 GTS 1966	Ferrari 275 GTS 1966
消防车	Fire truck
福特	Ford
福特野马1967谢尔比GT	Ford Mustang 1967 Shelby GT
一级方程式赛车	Formula 1 car
有轨缆车	Funicular
垃圾车	Garbage truck
贡多拉	Gondola
滑翔伞	Hang glider
哈雷戴维森	Harley-Davidson
直升机	Helicopter
高速列车	High-speed Train
本田	Honda
马车	Horse-drawn carriage
热气球	Hot air balloon
气垫船	Hovercraft
超跑	hypercar
破冰船	Icebreaker
吉普	Jeep
摩托艇	Jet ski
川崎	Kawasaki
皮划艇	Kayak
风筝冲浪板	Kiteboard
兰博基尼	Lamborghini
超级游艇	Mega yacht
奔驰	Mercedes-Benz
摩托车	Motorcycle
肌肉车	Muscle car
日产	Nissan
核潜艇	Nuclear submarine
油轮	Oil tanker
划桨船	Paddle boat
降落伞	Parachute
飞机	Plane
警车	Police car
保时捷	Porsche
邮政货车	Postal delivery truck
木筏	Raft
火箭船	Rocketship
滚轴旱冰鞋	Roller skates
轮滑鞋	Rollerblades
绳桥	Rope Bridge
索道	Ropeway
滑板车	Scooter
水上飞机母舰	Seaplane carrier
船	Ship
滑板	Skateboard
滑雪板	Skis
雪橇	Sled
除雪机	Snow plow
单板滑雪板	Snowboard
雪地摩托	Snowmobile
航天飞机	Space shuttle
宇宙飞船	Spacecraft
太空船	Spaceship
跑车	Sports car
潜艇	Submarine
冲浪板	Surfboard
特斯拉	Tesla
雷鸟	Thunderbird
拖车	Tow truck
丰田	Toyota
半挂牵引车	Tractor trailer
火车	Train
有轨电车	Tram
三轮车	Trike
电车	Trolley
独轮车	Unicycle
厢式货车	Utility van
大众	Volkswagen
冲浪尾波板	Wakeboard
水上滑板	Water scooter
水橇	Water skis
捕鲸船	Whaling ship
风帆冲浪板	Wind surfboard
游艇	Yacht
雅马哈	Yamaha
航拍	aerial shot
空中视角	aerial view
俯视角度	angle from above
仰视角度	angle from below
鸟瞰图	birds-eye-view shot
身体特写	body shot
电影镜头	cinematic shot
近景	close-up shot
拉远变焦	dolly zoom
倾斜角度拍摄	dutch angle shot
全景镜头	establishing shot
特写	extreme close-up shot
超广角	extreme wide shot
平视角度	eye-level shot
全身照	full body shot
全身画面	full length frame
全貌	full shot
地面视角	ground level shot
仰角拍摄	high angle shot
平视拍摄	hip level shot
膝位拍摄	knee level shot
全景	long shot
俯角拍摄	low angle shot
中近景	medium close-up shot
中景	medium shot
中宽幅	medium wide shot
肩后拍摄	over the shoulder shot
顶视角度	overhead angle
主观视角	pov shot
专业拍摄	professionally shot
背面拍摄	rear angle
自拍	selfie
自拍角度	selfie shot angle
背拍	shot from behind
侧拍	shot from side
肩位拍摄	shoulder-level shot
侧面拍摄	side view shot
侧面	side-profile
街景拍摄	street level shot
棚拍	studio shot
长焦拍摄	telephoto shot
俯视	top-down view
双人镜头	two shot angle
上身	upper body shot
广角	wide angle
宽幅	wide shot
拉远	zoomed out
背面	back view
特写	close-up
超特写	extreme close-up
正面	front view
仰视	high angle view
俯视	low angle view
中近景	medium close-up
中全景	medium full shot
顶视角度	overhead shot view
俯视	seen from above view
背拍	seen from behind
仰视	seen from below view
自拍视角	selfie view
侧面	side view
正面	straight on view
俯视	top down view
广角	wide angle view
长城	great wall of china
海滨木板路	a beachfront boardwalk
盛开的植物园	a botanical garden in bloom
繁华市场	a bustling marketplace
繁忙机场航站楼	a busy airport terminal
森林小屋	a cabin in the woods
时尚市区阁楼	a chic downtown loft
城市植物保护区	a city botanical conservatory
城市食品卡车公园	a city food truck park
城市屋顶蜂房	a city rooftop apiary
城市屋顶泳池	a city rooftop pool
城市有轨电车站	a city tram station
城市动物园	a city zoo
沿海渔村	a coastal fishing village
沿海灯塔	a coastal lighthouse
沿海自然保护区	a coastal nature reserve
海滨冲浪店	a coastal surf shop
雨天咖啡馆	a coffee shop on a rainy day
春日大学校园	a college campus during spring
大学校园草坪	a college campus quad
当代艺术画廊	a contemporary art gallery
公司会议室	a corporate boardroom
黄昏乡村小路	a country road at twilight
乡村民宿	a countryside bed and breakfast
乡村马场	a countryside horse ranch
花开的乡村果园	a countryside orchard in bloom
乡村葡萄园	a countryside vineyard
温馨图书馆角落	a cozy library reading nook
山间小木屋	a cozy mountain chalet
拥挤电影院	a crowded movie theater
可爱男孩卧室	a cute boys bedroom
可爱女孩卧室	a cute girls bedroom
沙漠考古现场	a desert archaeological dig site
黎明沙漠绿洲	a desert oasis at dawn
欧式咖啡馆	a european-style cafe
晴天农夫市场	a farm market on a sunny day
丰收时节农场	a farmstead at harvest time
高科技实验室	a high-tech research lab
历史战场	a historic battlefield
历史悠久的教堂庭院	a historic church courtyard
历史悠久的城市广场	a historic city square
历史悠久的大宅花园	a historic mansion garden
历史博物馆	a historic museum
历史蒸汽船码头	a historic steamboat dock
历史悠久的火车站	a historic train depot
城市爵士俱乐部	a jazz club in the city
湖边观鸟点	a lakeside bird-watching spot
湖边篝火圈	a lakeside campfire circle
湖畔露营地	a lakeside campground
湖边码头	a lakeside dock
湖边钓鱼台	a lakeside fishing pier
湖边皮划艇租赁	a lakeside paddleboard rental
湖边度假村	a lakeside resort
湖边游艇俱乐部	a lakeside yacht club
大型电影院	a large movie theater
有流水的大岩洞	a large rocky cave with a stream of water
悬崖上的灯塔	a lighthouse on a cliff
豪华游轮	a luxury cruise ship
中世纪城堡庭院	a medieval castle courtyard
现代办公楼	a modern office building
山地自行车道	a mountain biking trail
登山小径	a mountain hiking trail
高山温泉	a mountain hot spring
滑翔伞起飞点	a mountain paragliding launch site
山口	a mountain pass
山顶	a mountain peak
滑雪道	a mountain ski slope
音乐节露营地	a music festival campground
社区公园	a neighborhood park
安静的郊区街道	a quiet suburban street
河边民宿	a riverside bed and breakfast
河边啤酒花园	a riverside beer garden
河边独木舟出发点	a riverside canoe launch
河边钓鱼台	a riverside fishing pier
河边皮划艇租赁	a riverside kayak rental
河边自然步道	a riverside nature trail
河边野餐地点	a riverside picnic spot
夜晚屋顶酒吧	a rooftop bar at night
屋顶花园	a rooftop garden
城市中的屋顶露台	a rooftop terrace in the city
乡村农舍	a rustic farmhouse
公路上的风景观景台	a scenic overlook on a highway
海边悬崖观景台	a seaside cliff overlook
海滨码头	a seaside marina
海滨散步道	a seaside promenade
湖边静谧小屋	a serene lakeside cabin
滑雪度假村小屋	a ski resort lodge
小镇餐厅	a small-town diner
雪山小木屋	a snowy alpine lodge
比赛中的体育场馆	a sports stadium during a game
郊区后院烧烤	a suburban backyard barbecue
郊区社区中心	a suburban community center
郊区社区花园	a suburban community garden
郊区死胡同	a suburban cul-de-sac
郊区宠物公园	a suburban dog park
郊区游乐场	a suburban playground
郊区购物中心	a suburban shopping mall
山间夏令营	a summer camp in the mountains
传统日本庭园	a traditional japanese garden
火车站台	a train station platform
热带雨林	a tropical rainforest
日落时分的葡萄园	a vineyard at sunset
收获季节的葡萄园	a vineyard during harvest season
野生动物游猎公园	a wildlife safari park
野生动物保护区	a wildlife sanctuary
瑜伽度假中心	a yoga retreat center
阿格拉地下世界	agarta subterranean world
藏传佛教中的阿格拉地下世界	agarta subterranean world in tibetan buddhism
阿格拉	agartha
古代阿尔比昂之地	albion ancient land
英国的古称阿尔比昂	albion ancient name of britain
艾尔夫海姆	alfheim
沙丘间	amidst shifting sand dunes
宇宙极光中的舞动光芒	amidst the dancing lights of the cosmic aurora
宇宙合唱团回响的低语中	amidst the echoing whispers of the cosmic choir
永恒翡翠森林间	amidst the emerald forests of eternity
恒星永恒起舞之间	amidst the eternal dance of celestial bodies
恒星能量永恒起舞之间	amidst the eternal dance of celestial energies
天体交响乐中	amidst the eternal symphony of celestial spheres
时间迷宫走廊间	amidst the labyrinthine corridors of time
永恒沙丘间	amidst the shifting sands of eternity
命运低语的风中	amidst the whispering winds of fate
古迹之中	amongst ancient ruins
游乐园旋转木马和摩天轮	amusement park carousel ferris_wheel
京都古城是传统日本文化和建筑的宝库	ancient city of kyoto is a treasure trove of traditional japanese culture and architecture
京都古城是传统日本文化和建筑的宝库，拥有寺庙、神社和茶屋	ancient city of kyoto is a treasure trove of traditional japanese culture and architecture, with temples, shrines, and tea houses
佩特拉古城是联合国教科文组织世界遗产之一，也是七大奇迹之一	ancient city of petra is a unesco world heritage site and one of the seven wonders of the world
古代埃尔多拉多	ancient eldorado
古代勒穆里亚	ancient lemuria
马丘比丘遗址提供了一窥过去的窗口	ancient ruins of machu picchu offer a glimpse into the past
佩特拉遗址证明了纳巴泰人开凿整个城市的智慧	ancient ruins of petra are a testament to the ingenuity of the nabateans, who carved an entire city out of the rock
提卡尔遗址从危地马拉丛林中升起，提供了一窥玛雅文明的窗口	ancient ruins of tikal rise from the jungles of guatemala, offering a glimpse into the mayan civilization
吴哥窟寺庙证明了柬埔寨丰富的历史	ancient temples of angkor wat are a testament to cambodia's rich history
古老的伊格德拉西尔	ancient yggdrasil
吴哥窟	angkor wat
安农温	annwn
日本青木原森林	aokigahara forest japan
水族馆隧道	aquarium tunnel
乌托邦之地	arcadia
希腊神话中的乌托邦之地	arcadia utopian paradise in greek mythology
拱坝	arch dam
建筑	architecture
北欧神族的阿斯加德领域	asgard realm of the norse gods
天文观测站	astronomical observatory
在狂欢节上	at a carnival
在宇宙十字路口	at a cosmic crossroads
在未来主义巨无霸商场	at a futuristic mega mall
月球殖民地	at a lunar colony
月球度假村	at a lunar resort
魔法学院	at a magical academy
在化装舞会上	at a masquerade ball
在月光下的舞会	at a moonlit ball
太空港	at a spaceport
时光旅行狂欢节	at a time-traveling carnival
星际市场	at an interstellar market
水下观测站	at an underwater observatory
元素汇聚尖塔之上的星界顶点	at the astral apex atop the elemental convergence spire
深谷底部	at the bottom of a deep chasm
海洋沟底	at the bottom of the ocean trench
天界锻造永恒神器之地	at the celestial forge crafting timeless artifacts
星云之上天界避难所	at the celestial haven above the astral clouds
星幕之中天界枢纽	at the celestial nexus within the astral veil
在星云漂流中的天界尖塔	at the celestial spire among nebulaic drifts
迷幻之谜的中心	at the center of the maze of illusions
时光术士的工作室	at the chronomancer's workshop amidst gears of time
时钟尖塔之中	at the clockwork spire amidst the gears of time
天界和谐交汇处	at the convergence of celestial harmonies
平行现实的交汇点	at the convergence of parallel realities
命运之路的交叉口	at the crossing of the paths of fate
宇宙河流的交汇点	at the crossing point of cosmic rivers
维度之间的十字路口	at the crossroads between dimensions
天界宿命的十字路口	at the crossroads of celestial destinies
命运织锦的十字路口	at the crossroads of destinys tapestry
多元宇宙的十字路口	at the crossroads of dimensions
闪耀水晶穹顶下的水晶迷宫	at the crystal labyrinth beneath the shimmering crystal dome
数字前沿中的赛博巨城	at the cybernetic megapolis within the digital frontier
赛博前沿中的数码大都会	at the digital metropolis within the cybernetic frontier
诸神之门	at the doorstep of the gods
魔法森林中的梦境避难所	at the dreamer's haven within the enchanted woods
黑洞边缘	at the edge of a black hole
未知宇宙的边缘	at the edge of an unknown universe
深渊边缘	at the edge of the abyss
宇宙海洋边缘	at the edge of the cosmic ocean
水晶沙漠边缘	at the edge of the crystal desert
永恒灵界森林边缘	at the edge of the eternal forest of spirits
宇宙边缘	at the edge of the universe
古老密林中的邪术灌木丛	at the eldritch grove within the ancient sylvan thicket
漂浮高原之上的翡翠天境	at the emerald sky haven atop floating plateaus
彩虹尽头	at the end of the rainbow
虚幻景观的缥缈岛屿	at the ethereal islands of illusory vistas
虚幻倒影的缥缈群岛	at the ethereal isles of illusory reflections
传说中的以太幻象之岛	at the fabled islands of aetheric illusions
耳语密林中的精灵聚落	at the fae enclave within the whispering thicket
连接魔法界的精灵枢纽	at the fae nexus linking enchanted realms
不老泉	at the fountain of eternal youth
游荡巨人的巨大峰顶	at the gargantuan summit among the roaming titans
古老者的门户	at the gate of the ancient ones
天堂之门	at the gates of heaven
冥界之门	at the gates of the underworld
宇宙虚无的入口	at the gateway to the cosmic void
游荡云朵中的巨人天空要塞	at the giants' sky citadel among the roaming clouds
和谐林地，潺潺元素池畔	at the harmonic glade with melodious elemental pools
元素谐调的泉源	at the harmonic springs with elemental harmonies
风暴中心	at the heart of a storm
火山中心	at the heart of a volcano
宇宙旋涡中心	at the heart of the cosmic maelstrom
永恒熔炉中心	at the heart of the eternal forge
创造风暴中心	at the heart of the storm of creation
天界灵脉交汇处	at the intersection of celestial ley lines
宇宙灵脉交汇处	at the intersection of cosmic ley lines
星光小径的交汇点	at the junction of starlit pathways
梦境丛林，古蛇庙林立之地	at the jungle of reverie with ancient serpent temples
火山广袤中的熔岩圣所	at the magma sanctum encased in volcanic expanse
元素熔坑内的熔岩圣所	at the magma sanctum within the elemental caldera
未探索领域的交汇点	at the meeting point of realms uncharted
神秘梦境森林中的月光避难所	at the moonlit haven within the enigmatic dream forest
绿意幽森森林中的月影林地	at the moonshadow glade within the verdant mystic forest
发光蘑菇覆盖的菌丝沼泽	at the mycelium marsh with luminescent mushroom canopies
数字前沿内的霓虹都市	at the neon metropolis within the digital frontier
多元空间门户的枢纽入口	at the nexus gateway of interdimensional portals
宇宙能量的交汇点	at the nexus of cosmic energies
雪峰之巅	at the peak of a snowy mountain
悲伤山之巅	at the peak of the mountain of sorrows
天界瀑布边缘	at the precipice of the celestial cascade
发光水晶洞穴中的石英要塞	at the quartz citadel within the luminous crystal cave
时间河流的岸边	at the shores of the river of time
虚无广袤中的天空庇护所	at the skyborne aegis within the aetherial expanse
星云漂流中的天空观测站	at the skyborne observatory amidst nebula drifts
漂浮寺庙的天际群岛	at the skyward archipelago of floating temples
虚无云海之上的天空观测站	at the skyward observatory above the aetherial cloudscape
无尽星云中的星光观测所	at the starlight observatory amid the endless nebulae
永恒星云中的星光观测所	at the starlight observatory amid the eternal nebulae
宇宙瀑布间闪耀的要塞	at the starlit citadel amidst cosmic cascades
世界之树的顶端	at the summit of the world tree
被纪元沙海封闭的时间堡垒	at the temporal bastion encapsulated in aeon sands
在岁月沙海中冻结的时间堡垒	at the temporal bastion frozen in the sands of ages
沉没于纪元沙海中的时间堡垒	at the temporal bastion submerged in aeon sand
天界要塞的门槛	at the threshold of the celestial citadel
天界门户的门槛	at the threshold of the celestial gateway
宇宙教堂的门槛	at the threshold of the cosmic cathedral
宇宙矩阵的门槛	at the threshold of the cosmic matrix
永恒之门的门槛	at the threshold of the eternal gate
天界国王的宝座	at the throne of the celestial king
巨山中的巨人之巅	at the titan's summit amid the colossal mountains
摩天大楼顶端	at the top of a sky scraper
摩天大楼顶端	at the top of a skyscraper
天界阶梯的顶点	at the zenith of the celestial staircase
沉没于海底的神话亚特兰蒂斯岛	atlantis mythical island submerged beneath the ocean
沉没岛屿，亚特兰蒂斯	atlantis submerged island
巨大蘑菇顶端	atop a giant mushroom
亚瑟王传说中的阿瓦隆岛	avalon arthurian island
与亚瑟王传说相关的神秘阿瓦隆岛	avalon mystical island associated with arthurian legend
艾尔斯岩	ayers rock
Bed & Breakfast	bed and breakfast
银河边缘的树荫之下	beneath the canopy of the galaxys edge
天空织锦之下的树荫之下	beneath the canopy of the skys tapestry
星座天幕之下的树荫之下	beneath the celestial canopy of constellations
无尽星辰穹顶之下的树荫之下	beneath the celestial vault of endless stars
天界织锦的怀抱之中	beneath the embrace of the celestial tapestry
天蛇凝视之下	beneath the gaze of the celestial serpent
天界守护者注视之下	beneath the gaze of the celestial watchers
宇宙凤凰注视之下	beneath the gaze of the cosmic phoenix
宇宙巨蛇注视之下	beneath the gaze of the cosmic serpent
世界之树根部之下	beneath the roots of the world tree
生命之树下	beneath the tree of life
宇宙之树低语的枝桠之下	beneath the whispering branches of the cosmic tree
梦境虚无河畔	beside the ethereal river of dreams
命运黄昏河畔	beside the twilight river of fate
世界最佳之地	best place of the world
阴影之门之外	beyond the gate of shadows
永恒大海的彼岸	beyond the shores of the eternal sea
幻象黄昏面纱之外	beyond the twilight veil of illusions
梦境面纱之外	beyond the veil of dreams
幻象面纱之外	beyond the veil of illusions
现实面纱之外	beyond the veil of reality
印度班加尔要塞	bhangarh fort india
鸟舍	birdhouse
美国加州博迪	bodie california usa
英国波罗利庄园	borley rectory england
植物园	botanical garden
罗马尼亚布兰城堡	bran castle romania
